customerid,actual_churn,predicted_churn,churn_probability,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,cltv,risk_segment,expected_monthly_revenue_at_risk,expected_annual_revenue_at_risk,retention_priority_score,priority_group
1302-UHBDD,0,1,0.50789744,Male,Yes,No,No,20,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,89.95,1648.45,4812,Medium Risk,45.685374423861504,548.224493086338,2444.0024650096893,Critical Priority
3722-WPXTK,1,1,0.86690474,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.35,88.35,4254,High Risk,76.59103338718414,919.0924006462096,3687.8127450942993,Critical Priority
7531-GQHME,0,0,0.099861614,Male,No,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.05,265.45,4996,Low Risk,2.0022253688424825,24.026704426109788,498.90862557291985,Medium Priority
1335-NTIUC,0,1,0.5085447,Male,No,No,No,9,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.95,190.25,5473,Medium Risk,12.6881898522377,152.2582782268524,2783.2650525569916,Critical Priority
9367-TCUYN,0,0,0.1009999,Female,No,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.1,223.6,5179,Low Risk,2.0300979740917686,24.361175689101223,523.0784780010581,Medium Priority
1536-HBSWP,0,1,0.5291183,Female,No,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.9,49.9,4667,Medium Risk,26.403003144264222,316.8360377311707,2469.3951036930084,Critical Priority
8573-JGCZW,0,0,0.051515255,Male,No,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.65,351.55,4774,Low Risk,1.012274763174355,12.14729715809226,245.93382795900106,Medium Priority
2694-CIUMO,0,1,0.5206601,Female,No,No,No,12,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),79.55,958.25,3445,Medium Risk,41.41851114332676,497.02213371992116,1793.6740526556969,Critical Priority
2027-FECZV,1,1,0.77595776,Male,No,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.7,1253.9,2406,High Risk,82.79469333291054,993.5363199949265,1866.954378247261,Critical Priority
9103-TCIHJ,1,0,0.25304246,Female,No,No,No,15,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,55.7,899.8,4519,Low Risk,14.094464993476869,169.13357992172243,1143.498874425888,High Priority
1545-JFUML,0,0,0.07337289,Male,No,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,99.0,6994.6,5295,Low Risk,7.263916410505772,87.16699692606926,388.50946862250566,Medium Priority
0524-IAVZO,1,1,0.58726615,Female,No,Yes,No,30,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,2624.25,3698,Medium Risk,49.9176225066185,599.011470079422,2171.710212111473,Critical Priority
5519-TEEUH,0,0,0.011722373,Male,No,No,Yes,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.15,682.15,5759,Low Risk,0.23620581282302736,2.8344697538763284,67.50914521329105,Low Priority
6654-QGBZZ,0,0,0.35358,Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.9,19.9,5057,Low Risk,7.036241960525512,84.43490352630614,1788.0540499687195,Critical Priority
2294-DMMUS,0,0,0.038068045,Female,No,Yes,Yes,62,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),70.45,4300.45,5057,Low Risk,2.6818937653675676,32.18272518441081,192.51010321453214,Medium Priority
0017-IUDMW,0,0,0.005736958,Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),116.8,8456.75,6252,Low Risk,0.6700766675174236,8.040920010209083,35.867459977045655,Low Priority
5018-LXQQG,0,0,0.032697797,Female,No,Yes,Yes,30,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),66.3,1923.5,4631,Low Risk,2.167863929271698,26.014367151260373,151.42349708080292,Low Priority
5808-TOTXO,0,0,0.054444946,Female,No,No,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.55,57.4,2774,Low Risk,1.1188436474651098,13.426123769581316,151.03028117120266,Low Priority
1174-FGIFN,0,0,0.03827824,Female,No,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,90.45,2509.25,5823,Low Risk,3.4622668722644447,41.547202467173335,222.89419565722346,Medium Priority
0730-KOAVE,0,0,0.33840764,Male,No,No,No,30,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),94.3,2679.7,4219,Low Risk,31.911840045452116,382.94208054542537,1427.7418149709702,High Priority
1218-VKFPE,1,0,0.10188688,Female,No,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.0,233.55,3535,Low Risk,1.9358507841825485,23.230209410190582,360.17013274133205,Medium Priority
5313-FPXWG,0,0,0.041639514,Male,No,No,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24.6,1266.4,4886,Low Risk,1.0243320509791374,12.291984611749648,203.45066671073437,Medium Priority
2834-JKOOW,0,0,0.06917603,Female,No,No,No,15,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,45.9,693.45,3572,Low Risk,3.175179921090603,38.102159053087234,247.09679037332535,Medium Priority
9430-NKQLY,0,0,0.0043159933,Male,No,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.1,1790.8,4185,Low Risk,0.1083314314018935,1.299977176822722,18.06243188912049,Low Priority
0363-QJVFX,1,0,0.3799394,Male,No,No,No,32,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.15,3432.9,2541,Low Risk,41.09044687896967,493.08536254763607,965.4260334670544,High Priority
1658-TJVOA,0,1,0.526588,Female,Yes,No,No,6,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.1,450.9,4716,Medium Risk,39.02017248272895,468.24206979274743,2483.3891150951385,Critical Priority
6685-GBWJZ,0,0,0.04063619,Male,No,Yes,No,63,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),70.8,4448.8,5114,Low Risk,2.8770422011613843,34.524506413936614,207.8134719878435,Medium Priority
6328-ZPBGN,1,1,0.70105696,Female,Yes,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.15,997.65,4074,High Risk,66.70556948184968,800.4668337821961,2856.106043815613,Critical Priority
4003-FUSHP,0,0,0.24102153,Male,No,No,No,19,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),61.55,1093.2,5831,Low Risk,14.834875100106,178.018501201272,1405.396534666419,High Priority
7690-KPNCU,0,0,0.07902123,Male,No,Yes,No,64,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),73.05,4688.65,4515,Low Risk,5.77250087633729,69.27001051604748,356.7808549851179,Medium Priority
2969-WGHQO,0,0,0.05110872,Female,No,Yes,Yes,7,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Electronic check,69.45,477.05,3334,Low Risk,3.5495007181540132,42.59400861784816,170.3964779600501,Low Priority
1855-CFULU,0,0,0.15603156,Female,Yes,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,91.45,3460,Low Risk,3.128432855755091,37.541194269061094,539.8692110180855,Medium Priority
9788-YTFGE,0,0,0.14197026,Male,No,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.95,147.5,3331,Low Risk,2.8323067255318164,33.987680706381795,472.90294249355793,Medium Priority
8266-VBFQL,0,1,0.66909224,Male,No,No,No,4,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,90.4,356.65,3314,Medium Risk,60.485938310623176,725.8312597274781,2217.3716765642166,Critical Priority
2325-NBPZG,0,1,0.5449451,Female,No,No,No,3,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.55,233.65,5125,Medium Risk,40.62565875649452,487.5079050779343,2792.843744158745,Critical Priority
9906-NHHVC,0,0,0.059375484,Female,Yes,No,No,65,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),53.5,3517.9,5693,Low Risk,3.1765883695334196,38.119060434401035,338.02462780848145,Medium Priority
2541-YGPKE,0,0,0.014575276,Male,No,Yes,Yes,42,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),63.7,2763.35,3764,Low Risk,0.9284450552426279,11.141340662911535,54.86133733019233,Low Priority
5049-MUBWG,0,0,0.05236947,Male,No,No,No,26,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),75.0,1908.35,4705,Low Risk,3.927710372954607,47.132524475455284,246.39836406335235,Medium Priority
2332-TODQS,0,0,0.04293163,Female,No,No,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),25.05,1171.5,3642,Low Risk,1.0754373617470265,12.905248340964318,156.35700085759163,Low Priority
4419-UJMUS,0,0,0.019853976,Male,No,Yes,Yes,69,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,99.35,6856.45,4637,Low Risk,1.9724924782291053,23.669909738749265,92.06288496777415,Low Priority
2233-TXSIU,0,0,0.03515228,Male,No,Yes,Yes,17,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,One year,No,Credit card (automatic),44.45,792.15,3522,Low Risk,1.5625187944620849,18.75022553354502,123.80632607638836,Low Priority
6770-XUAGN,1,1,0.5131739,Female,No,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.0,21.0,3753,Medium Risk,10.776651442050934,129.3198173046112,1925.9415648579597,Critical Priority
2919-HBCJO,1,1,0.5952796,Female,No,No,No,4,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),76.65,333.6,4580,Medium Risk,45.62817937731743,547.5381525278092,2726.3804507255554,Critical Priority
9508-ILZDG,0,1,0.4999439,Female,Yes,No,No,34,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,96.35,3190.25,5425,Medium Risk,48.16959592401981,578.0351510882377,2712.19572275877,Critical Priority
5442-BHQNG,0,1,0.59254235,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.35,139.25,3430,Medium Risk,41.68535434305667,500.2242521166801,2032.420261502266,Critical Priority
7250-EQKIY,1,0,0.3074876,Female,No,Yes,Yes,1,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,50.45,50.45,2426,Low Risk,15.512749773263932,186.15299727916718,745.9649345874786,High Priority
6838-HVLXG,0,0,0.099861614,Female,No,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.3,246.7,4177,Low Risk,2.0271907724440097,24.326289269328115,417.1219633743167,Medium Priority
9767-FFLEM,0,0,0.34098896,Male,No,No,No,38,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),69.5,2625.25,4591,Low Risk,23.69873298704624,284.3847958445549,1565.4803330004215,High Priority
2245-ADZFJ,0,0,0.06249821,Female,No,Yes,No,31,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),80.55,2471.6,3491,Low Risk,5.0342309653759,60.4107715845108,218.18125760555267,Medium Priority
1150-WFARN,1,0,0.11804879,Female,No,Yes,No,67,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),108.75,7156.2,5516,Low Risk,12.837805598974228,154.05366718769073,651.1571097373962,Medium Priority
9054-FOWNV,0,0,0.23027954,Male,No,Yes,Yes,22,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,88.75,1885.15,5585,Low Risk,20.437308736145496,245.24770483374596,1286.1112032830715,High Priority
7997-EASSD,0,0,0.10950184,Female,No,Yes,No,63,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),81.2,4965.1,6063,Low Risk,8.891549301147462,106.69859161376954,663.9096479415894,Medium Priority
7560-QJAVJ,0,0,0.025041237,Female,No,No,No,70,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),79.6,5589.45,5474,Low Risk,1.993282502889633,23.919390034675597,137.0757339298725,Low Priority
2668-TZSPS,0,0,0.30523202,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.45,20.45,2664,Low Risk,6.241994772851467,74.90393727421761,813.1380965709686,High Priority
9139-WQQDY,1,0,0.262107,Female,No,Yes,No,49,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,100.45,4941.8,4235,Low Risk,26.32864962220192,315.943795466423,1110.0232070684433,High Priority
6726-NNFWD,0,0,0.047286313,Female,Yes,Yes,No,71,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),89.45,6435.25,6004,Low Risk,4.229760700277985,50.75712840333581,283.90702341496944,Medium Priority
9330-DHBFL,0,0,0.06576928,Female,No,Yes,No,23,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,66.25,1533.8,2072,Low Risk,4.357214635238051,52.28657562285662,136.27394300699234,Low Priority
5727-MYATE,0,0,0.0028690118,Male,No,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.8,6397.6,5028,Low Risk,0.26050627455115316,3.126075294613838,14.425391502678394,Low Priority
2824-DXNKN,0,0,0.003866589,Female,No,Yes,Yes,72,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),71.45,5025.85,5656,Low Risk,0.27626777902478356,3.3152133482974024,21.869426986202598,Low Priority
6166-ILMNY,1,1,0.5335511,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.75,144.55,5667,Medium Risk,37.21518900990486,446.58226811885834,3023.634066224098,Critical Priority
5236-XMZJY,0,0,0.11699413,Female,No,No,No,42,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),59.65,2536.55,3048,Low Risk,6.978699713200331,83.74439655840396,356.5981010198593,Medium Priority
1709-EJDOX,0,0,0.0050495616,Female,No,Yes,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.75,948.9,3843,Low Risk,0.09972884191665798,1.1967461029998958,19.405465290416032,Low Priority
4962-CHQPW,0,0,0.0097333975,Male,No,No,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.85,535.05,2941,Low Risk,0.19320794064551594,2.3184952877461913,28.625922087579966,Low Priority
0301-FIDRB,0,0,0.0029795833,Female,No,Yes,Yes,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),63.8,4684.3,6107,Low Risk,0.1900974170770496,2.281169004924595,18.196315455948934,Low Priority
1820-TQVEV,1,1,0.8089477,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,69.55,3042,High Risk,56.262311309576035,675.1477357149124,2460.818849802017,Critical Priority
9115-YQHGA,0,0,0.22233026,Male,No,No,No,40,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,51.1,2092.9,3355,Low Risk,11.361076147854329,136.33291377425195,745.9180132299662,High Priority
1541-ETJZO,1,0,0.40530714,Male,No,No,No,1,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,62.05,62.05,2937,Low Risk,25.1493082806468,301.79169936776157,1190.3870817124844,High Priority
6230-BSUXY,1,1,0.86460143,Female,Yes,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,85.0,2650,High Risk,73.49112182855606,881.8934619426727,2291.193798184395,Critical Priority
6797-LNAQX,1,0,0.118086874,Male,No,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),98.3,6859.5,4794,Low Risk,11.60793976187706,139.2952771425247,566.1084762811661,Medium Priority
9588-YRFHY,0,0,0.021294387,Male,No,No,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.9,1022.6,5240,Low Risk,0.42375830244272944,5.0850996293127535,111.58258818089962,Low Priority
1092-GANHU,1,1,0.48377928,Male,No,No,No,17,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,76.65,1313.55,3182,Medium Risk,37.08168191760779,444.98018301129343,1539.3856733441353,High Priority
5951-AOFIH,0,0,0.2144097,Male,No,No,No,33,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),66.4,2245.4,3843,Low Risk,14.236803686618806,170.84164423942568,823.9764543324709,High Priority
7029-RPUAV,1,1,0.67208505,Male,Yes,Yes,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.45,1622.45,5508,Medium Risk,67.51094294786454,810.1313153743745,3701.844437599182,Critical Priority
4700-UBQMV,0,0,0.043231603,Male,No,Yes,Yes,21,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),75.9,1549.75,3503,Low Risk,3.2812786493450408,39.37534379214049,151.44030446186662,Low Priority
3594-UVONA,1,0,0.10040105,Female,No,No,No,35,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),85.95,3110.1,3833,Low Risk,8.629470362886787,103.55364435464145,384.83722979575396,Medium Priority
7750-EYXWZ,0,0,0.18418755,Female,No,No,No,12,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,60.65,743.3,3740,Low Risk,11.170974687486886,134.05169624984262,688.861423432827,Medium Priority
7054-ENNGU,0,0,0.28689516,Female,No,Yes,No,9,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.85,466.6,4623,Low Risk,14.588618677854539,175.06342413425446,1326.316305756569,High Priority
0402-OAMEN,0,0,0.0021717832,Female,No,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.45,1709.1,5335,Low Risk,0.0531001002760604,0.6372012033127248,11.586463598068804,Low Priority
2195-VVRJF,0,0,0.24410015,Male,Yes,Yes,No,18,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),59.1,1011.05,2422,Low Risk,14.426319068670272,173.11582882404326,591.2105716466904,Medium Priority
8819-ZBYNA,0,0,0.1026498,Female,No,Yes,No,58,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),109.1,6393.65,4935,Low Risk,11.199093232303857,134.38911878764628,506.5767653658986,Medium Priority
7748-UMTRK,0,0,0.18183851,Female,Yes,No,Yes,30,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.3,2974.5,2440,Low Risk,18.42024130821228,221.04289569854734,443.6859703063965,Medium Priority
1741-WTPON,0,0,0.013398679,Male,No,Yes,Yes,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,115.85,6567.9,4937,Low Risk,1.5522369590587912,18.626843508705495,66.14927809126675,Low Priority
7209-JCUDS,1,1,0.77620006,Male,No,No,No,10,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.9,1048.85,2832,High Risk,73.66138532161713,883.9366238594056,2198.198558807373,Critical Priority
2485-ITVKB,1,1,0.7209398,Female,No,Yes,No,2,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.1,68.75,2643,High Risk,25.30498750805855,303.6598500967026,1905.4439311623573,Critical Priority
9648-BCHKM,0,0,0.013101306,Female,No,Yes,Yes,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.65,471.35,5231,Low Risk,0.3229471882805228,3.875366259366274,68.53293070569634,Low Priority
0743-HRVFF,0,0,0.032360647,Female,No,Yes,Yes,51,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,56.15,2898.95,4132,Low Risk,1.817050321958959,21.80460386350751,133.7141928821802,Low Priority
2522-AHJXR,0,0,0.39485592,Male,No,Yes,No,60,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.45,6572.85,4350,Low Risk,43.21698006093502,518.6037607312203,1717.6232367753983,High Priority
9143-CANJF,0,0,0.05697731,Female,No,Yes,Yes,24,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,55.15,1319.85,2200,Low Risk,3.1422986071556807,37.70758328586817,125.35008043050766,Low Priority
1444-VVSGW,1,0,0.15318914,Male,No,Yes,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),115.65,7968.85,5563,Low Risk,17.716323760896923,212.59588513076307,852.1911723464727,High Priority
6898-MDLZW,0,0,0.21789517,Male,No,No,No,12,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,53.75,648.65,5385,Low Risk,11.711865123361349,140.5423814803362,1173.3654639869928,High Priority
0074-HDKDG,0,0,0.07769583,Male,No,Yes,No,25,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),61.6,1611.0,3807,Low Risk,4.78606323003769,57.43275876045227,295.78803111612797,Medium Priority
3982-JGSFD,0,0,0.042215303,Male,No,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.35,695.85,3526,Low Risk,0.8590814076364041,10.30897689163685,148.85115692019463,Low Priority
7928-VJYAB,0,0,0.2628486,Male,No,Yes,Yes,11,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,90.6,1020.2,2004,Low Risk,23.814081877470016,285.7689825296402,526.748566031456,Medium Priority
1522-VVDMG,1,1,0.6853111,Male,No,Yes,No,7,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,89.75,608.8,3807,Medium Risk,61.50666934251785,738.0800321102142,2608.9792778491974,Critical Priority
2665-NPTGL,0,1,0.6013696,Female,Yes,Yes,No,26,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.1,2510.7,3114,Medium Risk,58.99435966014862,707.9323159217834,1872.6649947166443,Critical Priority
8728-SKJLR,0,0,0.3901873,Male,No,No,No,41,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,74.25,3089.1,3277,Low Risk,28.971406526863575,347.6568783223629,1278.6437601149082,High Priority
7733-UDMTP,0,0,0.33079135,Female,Yes,No,No,57,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,55.0,3094.05,4622,Low Risk,18.193524479866028,218.32229375839233,1528.917639017105,High Priority
0431-APWVY,1,0,0.2344066,Female,No,Yes,No,28,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),90.1,2598.95,5958,Low Risk,21.12003514319658,253.44042171835898,1396.5945547521114,High Priority
5081-NWSUP,0,0,0.100014634,Female,No,No,No,10,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,No,Mailed check,64.9,685.55,4883,Low Risk,6.490949774533511,77.89139729440213,488.3714599236846,Medium Priority
2746-DIJLO,0,0,0.11279691,Female,No,No,No,41,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),56.3,2364.0,2994,Low Risk,6.350466039031744,76.20559246838093,337.7139488607645,Medium Priority
7277-OZCGZ,0,0,0.40872827,Female,No,No,No,22,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.05,1886.25,5479,Low Risk,36.39725259691477,436.7670311629772,2239.422200769186,Critical Priority
5236-PERKL,1,0,0.11263896,Female,No,No,No,57,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),112.95,6465.0,4738,Low Risk,12.722570283338428,152.67084340006113,533.6833820492029,Medium Priority
2788-CJQAQ,0,0,0.04254779,Male,No,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.45,270.2,3799,Low Risk,0.8275544857606292,9.93065382912755,161.63904840126634,Low Priority
3096-WPXBT,0,0,0.023827836,Female,No,Yes,Yes,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),100.7,6018.65,4804,Low Risk,2.399463076889515,28.79355692267418,114.46892374753952,Low Priority
9962-BFPDU,0,0,0.24563724,Female,No,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,20.05,5811,Low Risk,4.925026622414589,59.10031946897507,1427.397990167141,High Priority
2892-GESUL,0,0,0.009820128,Female,No,Yes,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,309.25,2269,Low Risk,0.1900194740854204,2.2802336890250445,22.281870113685727,Low Priority
9741-YLNTD,0,1,0.6372363,Male,No,No,No,6,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.95,522.35,2684,Medium Risk,56.04493233263493,672.5391879916192,1710.3422214984894,High Priority
